Token Gradient,CSS Value (résumé),Utilisé?,Occurrences,Fichiers/Composants,Catégorie,Décision
--gradient-primary,linear-gradient(135deg #55A1B4 → #3D7786),OUI,50+,"Pages buttons icons progress bars badges modals",UI Primitives,KEEP
--gradient-secondary,linear-gradient(156deg #F18A4C → #C06920),OUI,15+,"Buttons badges profile avatar hero progress",UI Primitives,KEEP
--gradient-warm,linear-gradient(156deg #F18A4C → #F8B044),OUI,10+,"Progress bars exception orange+jaune coaching",Progress/Sliders,KEEP
--gradient-accent,Non défini (MISSING),OUI,8+,"Buttons icons chatbot test lab",UI Primitives,ADD
--gradient-success,linear-gradient(135deg #96C3CF → #55A1B4),OUI,10+,"Modals success progress bars validation",Semantic,KEEP
--gradient-warning,linear-gradient(135deg #FFD791 → #F8B044),OUI,5,"Modals warning toasts",Semantic,KEEP
--gradient-destructive,linear-gradient(135deg #F59A5F → #ED843A),OUI,5,"Modals destructive toasts error",Semantic,KEEP
--gradient-info,linear-gradient(135deg #73AFBF → #3D7786),OUI,2,"Modals info",Semantic,KEEP
--gradient-circular-tls,radial-gradient(circle #55A1B4 → #1F3E45),OUI,5,"Auth pages (Login Signup Reset Forgot)",Page BG,KEEP
--gradient-tls,linear-gradient(156deg multi-color TLS),OUI,3,"Hero sections magazine title showcase",Hero/Text,KEEP
--gradient-tls-text,linear-gradient(135deg multi-color TLS),OUI,3,"Hero text dashboard specs",Text Only,KEEP
--gradient-tls-text-cool,linear-gradient(135deg #55A1B4 → #7BC4D4),OUI,3,"Hero text dashboard simple",Text Only,KEEP
--gradient-tls-text-hero-light,linear-gradient(120deg multi-color opacity 0.85),OUI,4,"Dashboard Hero V2/V3 titles",Text Only,KEEP
--gradient-tls-subtle,linear-gradient(156deg rgba opacity 0.05),OUI,2,"Page backgrounds (Veille Magazine)",Page BG,KEEP
--gradient-tls-horizontal,linear-gradient(90deg multi-color TLS),OUI,1,"Showcase TLS Colors",Showcase,ARCHIVE?
--gradient-primary-radial,radial-gradient(circle #55A1B4 → #1F3E45),OUI,2,"Error page blobs showcase",Decorative,KEEP
--gradient-secondary-radial,radial-gradient(circle #F18A4C → #5E3710),OUI,2,"Error page blob showcase imports",Decorative,KEEP
--gradient-accent-radial,radial-gradient(circle #F8B044 → #664410),OUI,1,"Figma imports",Decorative,ARCHIVE?
--gradient-accent-warm,linear-gradient(135deg #F8B044 → #D69020),OUI,2,"Dashboard hero progress bars",Progress,KEEP
--gradient-brand,linear-gradient(156deg multi-shades blue),OUI,3,"Button variants showcase",UI Primitives,KEEP
--gradient-primary-ocean,linear-gradient(135deg #96C3CF → #55A1B4),OUI,1,"Dashboard hero progress",Progress,CONSOLIDATE → success
--gradient-primary-sky,linear-gradient(135deg #E8F4F7 → #96C3CF),OUI,1,"Success modal blob",Decorative,CONSOLIDATE → inline
--gradient-primary-glass,linear-gradient(135deg rgba opacity 0.95 → 0.85),NON,0,—,Legacy,ARCHIVE
--gradient-primary-metallic,linear-gradient(135deg multi-shades metallic),NON,0,—,Legacy,ARCHIVE
--gradient-secondary-light,linear-gradient(135deg #FCBB93 → #F59A5F),NON,0,—,Legacy,ARCHIVE
--gradient-accent-light,linear-gradient(135deg #FFD791 → #F8B044),NON,0,—,Legacy,ARCHIVE
--gradient-cool,linear-gradient(156deg #3D7786 → #315F6B),NON,0,—,Legacy,ARCHIVE
--gradient-sunset,linear-gradient(156deg #ED843A → #F49A5F),NON,0,—,Legacy,ARCHIVE
--gradient-ocean,linear-gradient(156deg #315F6B → #55A1B4),NON,0,—,Legacy,ARCHIVE
--gradient-fire,linear-gradient(156deg #F8A733 → #C06920),NON,0,—,Legacy,ARCHIVE
--gradient-primary-spectrum,linear-gradient(135deg 5 shades #E8F4F7 → #55A1B4),NON,0,—,Multi-Shades,ARCHIVE
--gradient-primary-depth,linear-gradient(135deg 4 shades #55A1B4 → #315F6B),NON,0,—,Multi-Shades,ARCHIVE
--gradient-primary-soft,linear-gradient(135deg 3 shades #DCEBEF → #96C3CF),NON,0,—,Multi-Shades,ARCHIVE
--gradient-primary-medium,linear-gradient(135deg 3 shades #7BC4D4 → #55A1B4),NON,0,—,Multi-Shades,ARCHIVE
--gradient-primary-dark,linear-gradient(135deg 3 shades #3D7786 → #254750),NON,0,—,Multi-Shades,ARCHIVE
--gradient-secondary-spectrum,linear-gradient(135deg 5 shades #FFF3EB → #ED843A),NON,0,—,Multi-Shades,ARCHIVE
--gradient-secondary-depth,linear-gradient(135deg 4 shades #ED843A → #A45915),NON,0,—,Multi-Shades,ARCHIVE
--gradient-secondary-soft,linear-gradient(135deg 3 shades #FDDCC7 → #F18A4C),NON,0,—,Multi-Shades,ARCHIVE
--gradient-secondary-medium,linear-gradient(135deg 3 shades #F18A4C → #DC772C),NON,0,—,Multi-Shades,ARCHIVE
--gradient-secondary-vibrant,linear-gradient(135deg 3 shades #FF9A5A → #ED843A),NON,0,—,Multi-Shades,ARCHIVE
--gradient-accent-spectrum,linear-gradient(135deg 5 shades #FFF9EE → #F8B044),NON,0,—,Multi-Shades,ARCHIVE
--gradient-accent-depth,linear-gradient(135deg 4 shades #F8B044 → #C87A11),NON,0,—,Multi-Shades,ARCHIVE
--gradient-accent-soft,linear-gradient(135deg 3 shades #FFE8BB → #FFC177),NON,0,—,Multi-Shades,ARCHIVE
--gradient-accent-medium,linear-gradient(135deg 3 shades #FFC177 → #E89E33),NON,0,—,Multi-Shades,ARCHIVE
--gradient-accent-rich,linear-gradient(135deg 3 shades #FFB033 → #E89E33),NON,0,—,Multi-Shades,ARCHIVE
--gradient-hero-tls,linear-gradient(90deg multi-color TLS),NON,0,—,Hero,ARCHIVE
--gradient-tls-hover,linear-gradient(156deg darker TLS),NON,0,—,Hover,ARCHIVE
--gradient-tls-full,linear-gradient(156deg 5-color TLS),NON,0,—,Hero,ARCHIVE
--gradient-tls-full-reverse,linear-gradient(156deg reversed TLS),NON,0,—,Hero,ARCHIVE
--gradient-tls-vertical,linear-gradient(180deg multi-color TLS),NON,0,—,Directional,ARCHIVE
--gradient-tls-vertical-reverse,linear-gradient(180deg reversed TLS),NON,0,—,Directional,ARCHIVE
--gradient-tls-diagonal,linear-gradient(45deg multi-color TLS),NON,0,—,Directional,ARCHIVE
--gradient-tls-diagonal-reverse,linear-gradient(45deg reversed TLS),NON,0,—,Directional,ARCHIVE
--gradient-tls-radial,radial-gradient(circle 5-color TLS),NON,0,—,Radial,ARCHIVE
--gradient-tls-radial-reverse,radial-gradient(circle reversed TLS),NON,0,—,Radial,ARCHIVE
--gradient-tls-soft,linear-gradient(156deg rgba 0.8 opacity),NON,0,—,Transparent,ARCHIVE
--gradient-tls-soft-light,linear-gradient(156deg rgba 0.4 opacity),NON,0,—,Transparent,ARCHIVE
--gradient-tls-glass,linear-gradient(156deg rgba 0.25 opacity),NON,0,—,Glass,ARCHIVE
--gradient-tls-glass-warm,linear-gradient(156deg warm rgba 0.25 opacity),NON,0,—,Glass,ARCHIVE
--gradient-tls-overlay,linear-gradient(156deg 3-color rgba 0.1 opacity),NON,0,—,Overlay,ARCHIVE
--gradient-tls-overlay-strong,linear-gradient(156deg 3-color rgba 0.3 opacity),NON,0,—,Overlay,ARCHIVE
--gradient-tls-subtle-reverse,linear-gradient(156deg reversed rgba 0.05),NON,0,—,Subtle,ARCHIVE
--gradient-tls-mesh,5x radial-gradient complex mesh,NON,0,—,Mesh,ARCHIVE
--gradient-tls-text-warm,linear-gradient(135deg #ED843A → #F8B044),NON,0,—,Text,ARCHIVE
--gradient-tls-text-hero,linear-gradient(120deg multi-color TLS),NON,0,—,Text,ARCHIVE
--bg-gradient-primary-subtle,linear-gradient(180deg --primary-50 → transparent),NON,0,—,BG Subtle,ARCHIVE
--bg-gradient-secondary-subtle,linear-gradient(180deg --secondary-50 → transparent),NON,0,—,BG Subtle,ARCHIVE
--bg-gradient-accent-subtle,linear-gradient(180deg --accent-50 → transparent),NON,0,—,BG Subtle,ARCHIVE
--bg-gradient-neutral-subtle,linear-gradient(180deg --neutral-50 → transparent),NON,0,—,BG Subtle,ARCHIVE
--gradient-mesh-primary,4x radial-gradient mesh primary,NON,0,—,Mesh,ARCHIVE
--gradient-mesh-warm,4x radial-gradient mesh warm,NON,0,—,Mesh,ARCHIVE
--gradient-circular,radial-gradient(circle legacy #55a1b4 → #164267),NON,0,—,Legacy,ARCHIVE
--auth-bg-gradient,radial-gradient(circle auth BG),MAYBE,0,—,Auth BG,DUPLICATE? → circular-tls
--auth-blob-primary,radial-gradient(circle blob rgba 0.3),NON,0,—,Auth Blob,ARCHIVE
--auth-blob-secondary,radial-gradient(circle blob rgba 0.2),NON,0,—,Auth Blob,ARCHIVE
--gradient-primary-peach,linear-gradient(135deg peach shades),NON,0,—,Variations,ARCHIVE
--gradient-secondary-peach,linear-gradient(135deg peach shades),NON,0,—,Variations,ARCHIVE
--gradient-secondary-sunset,linear-gradient(135deg sunset shades),NON,0,—,Variations,ARCHIVE
--gradient-secondary-amber,linear-gradient(135deg amber shades),NON,0,—,Variations,ARCHIVE
--gradient-accent-sunshine,linear-gradient(135deg sunshine shades),NON,0,—,Variations,ARCHIVE
--gradient-accent-gold,linear-gradient(135deg gold shades),NON,0,—,Variations,ARCHIVE
--gradient-accent-honey,linear-gradient(135deg honey shades),NON,0,—,Variations,ARCHIVE
--gradient-blue-orange-soft,linear-gradient(135deg soft blend rgba),NON,0,—,Blend,ARCHIVE
--gradient-blue-yellow-soft,linear-gradient(135deg soft blend rgba),NON,0,—,Blend,ARCHIVE
--gradient-blue-blend,linear-gradient(135deg multi-shade blend rgba),NON,0,—,Blend,ARCHIVE
--gradient-primary-deep,linear-gradient(135deg #55A1B4 → #3D7786),NON,0,—,Variations,ARCHIVE
